metric_month,product,billingCountry,no_customers,mrr
2015-09-01,GURU,France,23,4131.794166666666
2015-09-01,GURU,India,28,5056.545833333331
2015-09-01,GURU,United Kingdom,32,5758.115833333331
2015-09-01,GURU,United States,40,7057.246666666665
2015-09-01,PRO,Canada,25,2217.7699999999995
2015-09-01,PRO,France,15,1267.8716666666667
2015-09-01,PRO,India,50,4512.743333333328
2015-09-01,PRO,United Kingdom,92,8224.374166666657
2015-09-01,PRO,United States,76,6637.707499999991
2015-10-01,BUSINESS,Canada,3,1135.9716666666668
2015-10-01,BUSINESS,France,4,1471.9633333333334
2015-10-01,BUSINESS,India,7,2471.9433333333336
2015-10-01,BUSINESS,United Kingdom,19,6639.835
2015-10-01,BUSINESS,United States,16,5567.864166666665
2015-10-01,GURU,Canada,28,5107.748333333331
2015-10-01,GURU,France,19,3299.8358333333326
2015-10-01,GURU,India,39,7036.454166666664
2015-10-01,GURU,United Kingdom,55,9829.920833333328
2015-10-01,GURU,United States,50,8961.151666666665
2015-10-01,PRO,Canada,36,3205.671666666665
2015-10-01,PRO,France,23,2071.793333333333
2015-10-01,PRO,India,58,5175.873333333327
2015-10-01,PRO,United Kingdom,104,9172.274999999992
2015-10-01,PRO,United States,103,9091.456666666656
2015-11-01,BUSINESS,Canada,5,1871.9533333333334
2015-11-01,BUSINESS,France,6,2271.9433333333336
2015-11-01,BUSINESS,India,7,2591.9333333333334
2015-11-01,BUSINESS,United Kingdom,21,7439.815
2015-11-01,BUSINESS,United States,20,6927.8324999999995
2015-11-01,GURU,Canada,24,4347.788333333332
2015-11-01,GURU,France,25,4499.775833333331
2015-11-01,GURU,India,42,7604.425833333329
2015-11-01,GURU,United Kingdom,61,10825.874166666661
2015-11-01,GURU,United States,62,10991.446666666665
2015-11-01,PRO,Canada,37,3359.6633333333302
2015-11-01,PRO,France,30,2637.7299999999987
2015-11-01,PRO,India,83,7536.844999999991
2015-11-01,PRO,United Kingdom,127,11149.265833333322
2015-11-01,PRO,United States,112,9833.37999999999
2015-12-01,BUSINESS,Canada,5,1871.9533333333334
2015-12-01,BUSINESS,France,5,1871.9533333333334
2015-12-01,BUSINESS,India,7,2476.7383333333337
2015-12-01,BUSINESS,United Kingdom,23,8095.796666666666
2015-12-01,BUSINESS,United States,23,7788.609166666666
2015-12-01,GURU,Canada,25,4415.789999999999
2015-12-01,GURU,France,21,3667.817499999999
2015-12-01,GURU,India,40,7208.44083333333
2015-12-01,GURU,United Kingdom,67,11660.235833333329
2015-12-01,GURU,United States,71,12175.41
2015-12-01,PRO,Canada,44,3891.5983333333293
2015-12-01,PRO,France,33,2933.7074999999986
2015-12-01,PRO,India,81,7142.87166666666
2015-12-01,PRO,United Kingdom,147,12775.098333333322
2015-12-01,PRO,United States,118,10391.339999999993
2016-01-01,BUSINESS,Canada,6,2143.9466666666667
2016-01-01,BUSINESS,France,6,2207.9449999999997
2016-01-01,BUSINESS,India,13,4812.679999999999
2016-01-01,BUSINESS,United Kingdom,30,10463.742499999998
2016-01-01,BUSINESS,United States,33,11844.500833333332
2016-01-01,GURU,Canada,30,5387.736666666665
2016-01-01,GURU,France,31,5342.129999999998
2016-01-01,GURU,India,45,7916.4108333333315
2016-01-01,GURU,United Kingdom,78,13744.119999999994
2016-01-01,GURU,United States,79,13895.309166666664
2016-01-01,PRO,Canada,51,4469.540833333328
2016-01-01,PRO,France,37,3245.672499999998
2016-01-01,PRO,India,108,9786.619999999992
2016-01-01,PRO,United Kingdom,179,15654.812499999989
2016-01-01,PRO,United States,140,12423.14249999999
2016-02-01,BUSINESS,Canada,10,3599.908333333333
2016-02-01,BUSINESS,France,7,2543.936666666667
2016-02-01,BUSINESS,India,18,6668.631666666665
2016-02-01,BUSINESS,United Kingdom,30,10415.745833333332
2016-02-01,BUSINESS,United States,36,12948.477499999999
2016-02-01,GURU,Canada,42,7687.614999999997
2016-02-01,GURU,France,39,6814.056666666665
2016-02-01,GURU,India,52,9082.750833333332
2016-02-01,GURU,United Kingdom,114,20702.176666666688
2016-02-01,GURU,United States,97,16991.159166666668
2016-02-01,PRO,Canada,61,5391.445833333327
2016-02-01,PRO,France,49,4259.563333333329
2016-02-01,PRO,India,128,11538.433333333323
2016-02-01,PRO,United Kingdom,231,20546.33166666671
2016-02-01,PRO,United States,193,17167.863333333324
2016-03-01,BUSINESS,Canada,10,3479.918333333333
2016-03-01,BUSINESS,France,10,3743.906666666666
2016-03-01,BUSINESS,India,21,7820.604999999998
2016-03-01,BUSINESS,United Kingdom,36,12551.697499999998
2016-03-01,BUSINESS,United States,38,13396.4625
2016-03-01,GURU,Canada,48,8831.559999999998
2016-03-01,GURU,France,34,5714.116666666666
2016-03-01,GURU,India,76,13574.526666666663
2016-03-01,GURU,United Kingdom,114,20505.374166666683
2016-03-01,GURU,United States,109,18983.860833333343
2016-03-01,PRO,Canada,73,6526.532499999992
