churn_month,product,billingCountry,starting_revenue,starting_customers,retained_revenue,retained_customers
2015-08-01,GURU,France,1775.9116666666669,10,1175.9416666666666,7
2015-08-01,GURU,India,2063.895,11,1103.9450000000002,6
2015-08-01,GURU,United Kingdom,3194.2408333333333,18,1594.3208333333337,10
2015-08-01,GURU,United States,5258.9383333333335,30,4258.9783333333335,26
2015-08-01,PRO,Canada,2245.7649999999994,25,1595.8349999999996,18
2015-08-01,PRO,France,1193.8808333333334,13,793.9208333333333,9
2015-08-01,PRO,India,3202.866666666666,36,1853.016666666666,21
2015-08-01,PRO,United Kingdom,5216.674999999998,59,3746.8683333333333,41
2015-08-01,PRO,United States,5058.682499999997,56,3248.9025000000006,34
2015-09-01,BUSINESS,Canada,799.98,2,0.0,0
2015-09-01,BUSINESS,France,671.9833333333333,2,671.9833333333333,2
2015-09-01,BUSINESS,India,1935.9516666666668,5,503.98333333333335,2
2015-09-01,BUSINESS,United Kingdom,7167.821666666667,20,4867.871666666668,15
2015-09-01,BUSINESS,United States,4679.888333333333,13,2079.9483333333333,6
2015-09-01,GURU,Canada,2443.883333333333,14,1843.9133333333334,11
2015-09-01,GURU,France,2479.876666666667,14,1679.916666666667,10
2015-09-01,GURU,India,3852.610833333333,22,2452.6708333333336,15
2015-09-01,GURU,United Kingdom,4822.1624999999985,27,2702.2625,17
2015-09-01,GURU,United States,6194.891666666666,35,4874.961666666668,29
2015-09-01,PRO,Canada,2525.7349999999997,28,1935.8249999999994,19
2015-09-01,PRO,France,1693.8208333333332,19,893.9208333333333,9
2015-09-01,PRO,India,4008.7833333333315,45,2330.976666666666,26
2015-09-01,PRO,United Kingdom,6022.589999999999,69,4448.7575,53
2015-09-01,PRO,United States,6166.564166666663,69,4190.825833333334,43
2015-10-01,BUSINESS,France,1071.9733333333334,3,671.9833333333333,2
2015-10-01,BUSINESS,India,2871.9333333333334,8,955.975,4
2015-10-01,BUSINESS,United Kingdom,8639.785,24,5039.875000000001,15
2015-10-01,BUSINESS,United States,4799.888333333333,14,2749.9183333333335,10
2015-10-01,GURU,Canada,4371.785,24,2971.8450000000003,18
2015-10-01,GURU,France,4131.794166666667,23,2331.8841666666676,14
2015-10-01,GURU,India,5056.545833333333,28,2864.657500000001,17
2015-10-01,GURU,United Kingdom,5758.1158333333315,32,4158.2058333333325,23
2015-10-01,GURU,United States,7057.246666666667,40,5665.3200000000015,33
2015-10-01,PRO,Canada,2217.769999999999,25,1837.8299999999995,19
2015-10-01,PRO,France,1267.8716666666664,15,887.9116666666666,11
2015-10-01,PRO,India,4512.743333333332,50,2930.9249999999997,32
2015-10-01,PRO,United Kingdom,8224.374166666661,92,5380.679166666668,62
2015-10-01,PRO,United States,6637.707499999998,76,4659.942499999999,53
2015-11-01,BUSINESS,Canada,1135.9716666666668,3,335.9916666666667,1
2015-11-01,BUSINESS,France,1471.9633333333334,4,671.9833333333333,2
2015-11-01,BUSINESS,India,2471.9433333333336,7,1071.9733333333334,3
