metric_month,billingCountry,product_outcome,no_customers
2016-10-01,United Kingdom,Upgrade,14
2016-10-01,United States,Upgrade,18
2016-11-01,Canada,Downgrade,1
2016-11-01,France,Downgrade,2
2016-11-01,India,Downgrade,8
2016-11-01,United Kingdom,Downgrade,8
2016-11-01,United States,Downgrade,14
2016-11-01,Canada,Upgrade,7
2016-11-01,France,Upgrade,11
2016-11-01,India,Upgrade,13
2016-11-01,United Kingdom,Upgrade,20
2016-11-01,United States,Upgrade,22
2016-12-01,Canada,Downgrade,1
2016-12-01,France,Downgrade,3
2016-12-01,India,Downgrade,7
2016-12-01,United Kingdom,Downgrade,13
2016-12-01,United States,Downgrade,12
2016-12-01,Canada,Upgrade,17
2016-12-01,France,Upgrade,3
2016-12-01,India,Upgrade,12
2016-12-01,United Kingdom,Upgrade,19
2016-12-01,United States,Upgrade,25
2017-01-01,France,Downgrade,2
2017-01-01,India,Downgrade,3
2017-01-01,United Kingdom,Downgrade,5
2017-01-01,United States,Downgrade,11
2017-01-01,Canada,Upgrade,6
2017-01-01,France,Upgrade,8
2017-01-01,India,Upgrade,15
2017-01-01,United Kingdom,Upgrade,24
2017-01-01,United States,Upgrade,22
2017-02-01,Canada,Downgrade,6
2017-02-01,France,Downgrade,8
2017-02-01,India,Downgrade,4
2017-02-01,United Kingdom,Downgrade,8
2017-02-01,United States,Downgrade,18
2017-02-01,Canada,Upgrade,2
2017-02-01,France,Upgrade,5
2017-02-01,India,Upgrade,7
2017-02-01,United Kingdom,Upgrade,18
2017-02-01,United States,Upgrade,17
2017-03-01,Canada,Downgrade,6
2017-03-01,France,Downgrade,4
2017-03-01,India,Downgrade,12
2017-03-01,United Kingdom,Downgrade,14
2017-03-01,United States,Downgrade,19
2017-03-01,Canada,Upgrade,3
2017-03-01,France,Upgrade,12
2017-03-01,India,Upgrade,14
2017-03-01,United Kingdom,Upgrade,19
2017-03-01,United States,Upgrade,15
2017-04-01,Canada,Downgrade,6
2017-04-01,France,Downgrade,6
2017-04-01,India,Downgrade,10
2017-04-01,United Kingdom,Downgrade,11
2017-04-01,United States,Downgrade,15
2017-04-01,Canada,Upgrade,8
2017-04-01,France,Upgrade,8
2017-04-01,India,Upgrade,5
2017-04-01,United Kingdom,Upgrade,10
2017-04-01,United States,Upgrade,14
2017-05-01,Canada,Downgrade,9
2017-05-01,France,Downgrade,10
2017-05-01,India,Downgrade,11
2017-05-01,United Kingdom,Downgrade,10
2017-05-01,United States,Downgrade,16
2017-05-01,Canada,Upgrade,9
2017-05-01,France,Upgrade,12
