metric_month,product,billingCountry,customers_acquired,cancelled_customers,customer_base
2015-10-01,PRO,India,27,18,50
2015-10-01,GURU,India,20,11,28
2015-10-01,BUSINESS,United States,7,4,14
2015-11-01,PRO,India,42,18,58
2015-11-01,PRO,United Kingdom,51,24,104
2015-11-01,BUSINESS,France,4,2,4
2015-11-01,GURU,France,10,4,19
2015-11-01,PRO,Canada,10,10,36
2015-11-01,BUSINESS,United Kingdom,6,4,19
2015-11-01,GURU,United Kingdom,25,23,55
2015-11-01,PRO,United States,37,33,103
2015-11-01,BUSINESS,Canada,4,2,3
2015-11-01,PRO,France,17,10,23
2015-11-01,BUSINESS,India,4,4,7
2015-11-01,BUSINESS,United States,8,5,16
2015-11-01,GURU,Canada,6,9,28
2015-11-01,GURU,United States,30,12,50
2015-11-01,GURU,India,17,13,39
2015-12-01,PRO,France,11,10,30
2015-12-01,PRO,United Kingdom,53,34,127
2015-12-01,GURU,United Kingdom,24,17,61
2015-12-01,BUSINESS,United Kingdom,7,5,21
2015-12-01,PRO,Canada,15,8,37
2015-12-01,PRO,United States,40,33,112
2015-12-01,GURU,India,10,15,42
2015-12-01,BUSINESS,India,4,1,7
2015-12-01,GURU,France,3,7,25
2015-12-01,BUSINESS,France,3,2,6
2015-12-01,GURU,United States,26,16,62
2015-12-01,BUSINESS,United States,6,5,20
2015-12-01,PRO,India,24,26,83
2015-12-01,BUSINESS,Canada,2,2,5
2015-12-01,GURU,Canada,8,7,24
2016-01-01,BUSINESS,Canada,2,2,5
2016-01-01,BUSINESS,India,7,2,7
2016-01-01,GURU,United Kingdom,29,21,67
2016-01-01,PRO,France,18,14,33
2016-01-01,BUSINESS,United States,13,5,23
2016-01-01,PRO,United States,53,34,118
2016-01-01,BUSINESS,France,3,2,5
2016-01-01,PRO,Canada,19,13,44
2016-01-01,GURU,India,16,9,40
2016-01-01,PRO,United Kingdom,72,37,147
2016-01-01,GURU,France,14,4,21
2016-01-01,BUSINESS,United Kingdom,14,7,23
2016-01-01,GURU,United States,31,18,71
2016-01-01,PRO,India,45,19,81
2016-01-01,GURU,Canada,11,4,25
2016-02-01,PRO,Canada,26,14,51
2016-02-01,BUSINESS,Canada,3,,6
2016-02-01,GURU,France,15,7,31
2016-02-01,PRO,France,23,11,37
2016-02-01,BUSINESS,France,4,3,6
2016-02-01,PRO,India,50,33,108
2016-02-01,BUSINESS,India,12,6,13
2016-02-01,GURU,United States,39,23,79
